stock_id ;stock_name; holding_num; holding_perc 
                                  493;                                GOME RETAIL HOLDINGS LIMITED;                                1,885,583,000;                                8.74%
                                  494;                                LI & FUNG LIMITED;                                15,708,000;                                0.17%
                                  506;                                CHINA FOODS LIMITED;                                216,942,100;                                7.74%
                                  511;                                TELEVISION BROADCASTS LTD;                                1,322,300;                                0.30%
                                  522;                                ASM PACIFIC TECHNOLOGY LIMITED;                                15,686,449;                                3.84%
                                  525;                                GUANGSHEN RAILWAY COMPANY LIMITED;                                185,612,010;                                12.95%
                                  530;                                GOLDIN FINANCIAL HOLDINGS LIMITED;                                9,372,000;                                0.13%
                                  535;                                GEMDALE PROPERTIES AND INVESTMENT CORPORATION LIMITED;                                240,094,000;                                1.51%
                                  546;                                FUFENG GROUP LIMITED;                                103,519,000;                                4.06%
                                  547;                                DIGITAL DOMAIN HOLDINGS LIMITED;                                808,100,000;                                3.32%
                                  548;                                SHENZHEN EXPRESSWAY COMPANY LIMITED;                                114,632,000;                                15.32%
                                  551;                                YUE YUEN INDUSTRIAL (HOLDINGS) LIMITED;                                537,500;                                0.02%
                                  552;                                CHINA COMMUNICATIONS SERVICES CORPORATION LIMITED;                                23,336,000;                                0.97%
                                  553;                                NANJING PANDA ELECTRONICS COMPANY LIMITED;                                72,830,000;                                30.08%
                                  563;                                SHANGHAI INDUSTRIAL URBAN DEVELOPMENT GROUP LIMITED;                                19,826,000;                                0.41%
                                  564;                                ZHENGZHOU COAL MINING MACHINERY GROUP COMPANY LIMITED;                                52,988,100;                                21.77%
                                  566;                                HANERGY THIN FILM POWER GROUP LIMITED;                                658,879,000;                                1.57%
                                  568;                                SHANDONG MOLONG PETROLEUM MACHINERY COMPANY LIMITED;                                10,282,000;                                4.01%
                                  570;                                CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO LIMITED;                                278,230,000;                                6.27%
                                  576;                                ZHEJIANG EXPRESSWAY CO., LTD.;                                15,506,839;                                1.08%
                                  579;                                BEIJING JINGNENG CLEAN ENERGY CO., LIMITED;                                214,564,000;                                9.09%
                                  581;                                CHINA ORIENTAL GROUP COMPANY LIMITED;                                68,680,000;                                1.94%
                                  586;                                CHINA CONCH VENTURE HOLDINGS LIMITED;                                42,081,400;                                2.33%
                                  588;                                BEIJING NORTH STAR COMPANY LIMITED;                                120,918,000;                                17.09%
                                  590;                                LUK FOOK HOLDINGS (INTERNATIONAL) LIMITED;                                664,000;                                0.10%
                                  598;                                SINOTRANS LIMITED;                                71,697,000;                                3.34%
                                  604;                                SHENZHEN INVESTMENT LIMITED;                                307,944,238;                                3.86%
                                  606;                                CHINA AGRI-INDUSTRIES HOLDINGS LIMITED;                                253,339,597;                                4.82%
                                  607;                                FULLSHARE HOLDINGS LIMITED;                                4,156,375,000;                                21.06%
                                  636;                                KERRY LOGISTICS NETWORK LIMITED;                                816,000;                                0.04%
                                  639;                                SHOUGANG FUSHAN RESOURCES GROUP LIMITED;                                214,986,000;                                4.04%
                                  656;                                FOSUN INTERNATIONAL LIMITED;                                453,565,679;                                5.27%
                                  658;                                CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP CO., LTD.;                                198,410,000;                                12.12%
                                  659;                                NWS HOLDINGS LIMITED;                                1,656,731;                                0.03%
                                  665;                                HAITONG INTERNATIONAL SECURITIES GROUP LIMITED;                                285,498,919;                                5.26%
                                  669;                                TECHTRONIC INDUSTRIES CO. LTD.;                                796,350;                                0.04%
                                  670;                                CHINA EASTERN AIRLINES CORPORATION LIMITED;                                390,838,000;                                8.38%
                                  680;                                NAN HAI CORPORATION LIMITED;                                1,662,950,000;                                2.41%
                                  683;                                KERRY PROPERTIES LIMITED;                                2,937,500;                                0.19%
                                  686;                                PANDA GREEN ENERGY GROUP LIMITED;                                46,376,000;                                0.48%
                                  687;                                HONG KONG INTERNATIONAL CONSTRUCTION INVESTMENT MANAGEMENT GROUP CO., LIMITED;                                2,170,000;                                0.06%
                                  688;                                CHINA OVERSEAS LAND & INVESTMENT LIMITED;                                185,878,647;                                1.68%
                                  691;                                CHINA SHANSHUI CEMENT GROUP LIMITED;                                1,695,000;                                0.05%
                                  694;                                BEIJING CAPITAL INTERNATIONAL AIRPORT COMPANY LIMITED;                                29,994,845;                                1.59%
                                  696;                                TRAVELSKY TECHNOLOGY LIMITED;                                32,549,982;                                3.48%
                                  698;                                TONGDA GROUP HOLDINGS LIMITED;                                87,418,500;                                1.44%
                                  699;                                CAR INC.;                                109,789,000;                                5.04%
                                  700;                                TENCENT HOLDINGS LIMITED;                                154,137,553;                                1.61%
                                  709;                                GIORDANO INTERNATIONAL LIMITED;                                1,272,000;                                0.08%
                                  715;                                CHINA OCEANWIDE HOLDINGS LIMITED;                                1,064,000;                                0.00%
                                  718;                                TAI UNITED HOLDINGS LIMITED;                                19,290,000;                                0.36%
                                  719;                                SHANDONG XINHUA PHARMACEUTICAL COMPANY LIMITED;                                40,934,000;                                27.28%
                                  721;                                CHINA FINANCIAL INTERNATIONAL INVESTMENTS LIMITED;                                530,150,000;                                4.83%
                                  728;                                CHINA TELECOM CORPORATION LIMITED;                                249,149,446;                                1.79%
                                  729;                                FDG ELECTRIC VEHICLES LIMITED;                                813,195,000;                                3.62%
                                  732;                                TRULY INTERNATIONAL HOLDINGS LIMITED;                                449,298,000;                                14.39%
                                  735;                                CHINA POWER CLEAN ENERGY DEVELOPMENT COMPANY LIMITED;                                49,131,500;                                4.14%
                                  737;                                HOPEWELL HIGHWAY INFRASTRUCTURE LIMITED -HKD TRADED SHARES;                                1,686,000;                                0.05%
                                  751;                                SKYWORTH DIGITAL HOLDINGS LIMITED;                                127,827,521;                                4.17%
                                  753;                                AIR CHINA LIMITED;                                285,544,640;                                6.25%
                                  754;                                HOPSON DEVELOPMENT HOLDINGS LIMITED;                                27,908,000;                                1.25%
                                  762;                                CHINA UNICOM (HONG KONG) LIMITED;                                214,375,971;                                0.88%
                                  763;                                ZTE CORPORATION;                                91,623,587;                                12.12%
                                  775;                                CK LIFE SCIENCES INT'L., (HOLDINGS) INC.;                                47,322,000;                                0.49%
                                  777;                                NETDRAGON WEBSOFT HOLDINGS LIMITED;                                8,510,511;                                1.58%
                                  787;                                GLOBAL BRANDS GROUP HOLDING LIMITED;                                322,086,000;                                3.76%
                                  799;                                IGG INC;                                100,610,767;                                7.45%
                                  806;                                VALUE PARTNERS GROUP LIMITED;                                39,886,000;                                2.15%
                                  811;                                XINHUA WINSHARE PUBLISHING AND MEDIA CO., LTD.;                                37,824,000;                                8.55%
                                  813;                                SHIMAO PROPERTY HOLDINGS LIMITED;                                8,975,500;                                0.26%
                                  816;                                HUADIAN FUXIN ENERGY CORPORATION LIMITED;                                38,864,000;                                1.51%
                                  817;                                CHINA JINMAO HOLDINGS GROUP LIMITED;                                713,448,000;                                6.67%
                                  819;                                TIANNENG POWER INTERNATIONAL LIMITED;                                33,808,000;                                3.00%
                                  829;                                SHENGUAN HOLDINGS (GROUP) LIMITED;                                176,784,000;                                5.42%
                                  836;                                CHINA RESOURCES POWER HOLDINGS COMPANY LIMITED;                                31,932,347;                                0.65%
                                  845;                                GLORIOUS PROPERTY HOLDINGS LIMITED;                                6,918,000;                                0.08%
                                  846;                                MINGFA GROUP (INTERNATIONAL) COMPANY LIMITED;                                5,261,000;                                0.08%
                                  853;                                MICROPORT SCIENTIFIC CORPORATION;                                20,416,413;                                1.40%
                                  855;                                CHINA WATER AFFAIRS GROUP LIMITED;                                164,430,000;                                10.27%
                                  857;                                PETROCHINA COMPANY LIMITED;                                705,788,771;                                3.33%
                                  861;                                DIGITAL CHINA HOLDINGS LIMITED;                                701,490,400;                                41.82%
                                  867;                                CHINA MEDICAL SYSTEM HOLDINGS LIMITED;                                45,776,290;                                1.83%
                                  868;                                XINYI GLASS HOLDINGS LIMITED;                                44,450,000;                                1.10%
                                  874;                                GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS CO., LTD.;                                61,876,000;                                28.13%
                                  880;                                SJM HOLDINGS LIMITED;                                177,778,010;                                3.13%
                                  881;                                ZHONGSHENG GROUP HOLDINGS LIMITED;                                73,232,126;                                3.22%
                                  883;                                CNOOC LIMITED;                                64,498,865;                                0.14%
                                  884;                                CIFI HOLDINGS (GROUP) CO. LTD.;                                379,699,605;                                5.02%
                                  885;                                RENTIAN TECHNOLOGY HOLDINGS LIMITED;                                5,940,000;                                0.05%
                                  895;                                DONGJIANG ENVIRONMENTAL COMPANY LIMITED;                                35,046,084;                                17.51%
                                  902;                                HUANENG POWER INTERNATIONAL, INC.;                                607,885,386;                                12.93%
                                  911;                                QIANHAI HEALTH HOLDINGS LIMITED;                                1,175,100,000;                                6.90%
                                  914;                                ANHUI CONCH CEMENT COMPANY LIMITED;                                17,328,137;                                1.32%
                                  916;                                CHINA LONGYUAN POWER GROUP CORPORATION LIMITED;                                101,724,000;                                3.03%
                                  921;                                HISENSE KELON ELECTRICAL HOLDINGS COMPANY LIMITED;                                53,305,000;                                11.59%
                                  931;                                CHINA LNG GROUP LIMITED;                                111,718,000;                                1.98%
                                  933;                                BRIGHTOIL PETROLEUM (HOLDINGS) LIMITED;                                25,254,000;                                0.24%
                                  934;                                SINOPEC KANTONS HOLDINGS LIMITED;                                116,126,000;                                4.66%
                                  939;                                CHINA CONSTRUCTION BANK CORPORATION;                                9,654,659,488;                                4.00%
                                  941;                                CHINA MOBILE LIMITED;                                25,492,107;                                0.12%
                                  951;                                CHAOWEI POWER HOLDINGS LIMITED;                                53,118,000;                                4.79%
                                  958;                                HUANENG RENEWABLES CORPORATION LIMITED;                                392,208,606;                                7.79%
                                  960;                                LONGFOR PROPERTIES CO. LTD.;                                184,975,346;                                3.13%
                                  966;                                CHINA TAIPING INSURANCE HOLDINGS COMPANY LIMITED;                                328,497,649;                                9.13%
                                  967;                                SOUND GLOBAL LTD.;                                289,000;                                0.01%
                                  968;                                XINYI SOLAR HOLDINGS LIMITED;                                64,843,662;                                0.87%
                                  976;                                CHIHO ENVIRONMENTAL GROUP LIMITED;                                90,432,000;                                5.63%
                                  978;                                CHINA MERCHANTS LAND LIMITED;                                37,292,000;                                0.76%
                                  981;                                SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION;                                722,227,000;                                15.48%
                                  991;                                DATANG INTERNATIONAL POWER GENERATION CO.,LTD.;                                289,798,000;                                8.74%
                                  992;                                LENOVO GROUP LIMITED;                                202,642,893;                                1.81%
                                  995;                                ANHUI EXPRESSWAY COMPANY LIMITED;                                42,946,000;                                8.70%
                                  996;                                CARNIVAL GROUP INTERNATIONAL HOLDINGS LIMITED;                                57,342,500;                                0.26%
                                  998;                                CHINA CITIC BANK CORPORATION LIMITED;                                2,800,185,800;                                18.80%
                                 1030;                                FUTURE LAND DEVELOPMENT HOLDINGS LIMITED;                                397,034,000;                                7.01%
                                 1031;                                KINGSTON FINANCIAL GROUP LIMITED;                                3,228,000;                                0.02%
                                 1033;                                SINOPEC OILFIELD SERVICE CORPORATION;                                340,028,000;                                16.18%
                                 1038;                                CK INFRASTRUCTURE HOLDINGS LIMITED;                                7,049,000;                                0.26%
                                 1044;                                HENGAN INTERNATIONAL GROUP COMPANY LIMITED;                                5,882,175;                                0.48%
                                 1052;                                YUEXIU TRANSPORT INFRASTRUCTURE LIMITED;                                4,402,000;                                0.26%
                                 1053;                                CHONGQING IRON & STEEL COMPANY LIMITED;                                78,920,000;                                14.66%
                                 1055;                                CHINA SOUTHERN AIRLINES COMPANY LIMITED;                                539,320,097;                                17.58%
                                 1057;                                ZHEJIANG SHIBAO COMPANY LIMITED;                                9,365,000;                                4.31%
                                 1060;                                ALIBABA PICTURES GROUP LIMITED;                                1,605,758,039;                                6.31%
                                 1065;                                TIANJIN CAPITAL ENVIRONMENTAL PROTECTION GROUP COMPANY LIMITED;                                52,054,200;                                15.30%
                                 1066;                                SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY LIMITED;                                25,507,283;                                1.34%
                                 1068;                                CHINA YURUN FOOD GROUP LIMITED;                                25,248,000;                                1.38%
                                 1070;                                TCL MULTIMEDIA TECHNOLOGY HOLDINGS LIMITED;                                9,008,000;                                0.51%
                                 1071;                                HUADIAN POWER INTERNATIONAL CORPORATION LIMITED;                                413,816,000;                                24.09%
                                 1072;                                DONGFANG ELECTRIC CORPORATION LIMITED;                                72,676,210;                                21.37%
                                 1076;                                IMPERIAL PACIFIC INTERNATIONAL HOLDINGS LIMITED;                                758,760,000;                                0.53%
                                 1083;                                TOWNGAS CHINA COMPANY LIMITED;                                8,539,085;                                0.29%
                                 1088;                                CHINA SHENHUA ENERGY COMPANY LIMITED;                                303,282,073;                                8.91%
                                 1093;                                CSPC PHARMACEUTICAL GROUP LIMITED;                                369,165,521;                                5.90%
                                 1097;                                I-CABLE COMMUNICATIONS LIMITED;                                1,225,550;                                0.01%
                                 1098;                                ROAD KING INFRASTRUCTURE LIMITED;                                8,998,000;                                1.20%
                                 1099;                                SINOPHARM GROUP CO. LTD.;                                47,620,820;                                3.99%
                                 1108;                                LUOYANG GLASS COMPANY LIMITED;                                55,926,000;                                22.36%
                                 1109;                                CHINA RESOURCES LAND LIMITED;                                129,759,392;                                1.86%
                                 1111;                                CHONG HING BANK LIMITED;                                1,370,500;                                0.21%
                                 1112;                                HELATH AND HAPPINESS (H&H) INTERNATIONAL HOLDINGS LIMITED;                                62,717,904;                                9.86%
                                 1113;                                CK ASSET HOLDINGS LIMITED;                                7,411,398;                                0.19%
                                 1114;                                BRILLIANCE CHINA AUTOMOTIVE HOLDINGS LIMITED;                                132,987,841;                                2.63%
                                 1115;                                TIBET WATER RESOURCES LTD.;                                114,857,000;                                4.47%
                                 1117;                                CHINA MODERN DAIRY HOLDINGS LTD.;                                131,189,000;                                2.13%
                                 1128;                                WYNN MACAU, LIMITED;                                69,939,200;                                1.33%
                                 1136;                                TCC INTERNATIONAL HOLDINGS LIMITED;                                1,361,000;                                0.02%
                                 1138;                                COSCO SHIPPING ENERGY TRANSPORTATION CO., LTD.;                                114,362,000;                                8.81%
                                 1141;                                CMBC CAPITAL HOLDINGS LIMITED;                                406,010,000;                                0.88%
                                 1157;                                ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD.;                                75,097,522;                                5.40%
                                 1165;                                SHUNFENG INTERNATIONAL CLEAN ENERGY LIMITED;                                418,598,000;                                9.70%
                                 1169;                                HAIER ELECTRONICS GROUP CO., LTD.;                                11,867,059;                                0.41%
                                 1171;                                YANZHOU COAL MINING COMPANY LIMITED;                                159,815,500;                                8.18%
                                 1177;                                SINO BIOPHARMACEUTICAL LIMITED;                                195,646,956;                                2.63%
                                 1186;                                CHINA RAILWAY CONSTRUCTION CORPORATION LIMITED;                                75,592,277;                                3.63%
                                 1188;                                HYBRID KINETIC GROUP LIMITED;                                187,948,000;                                0.92%
                                 1193;                                CHINA RESOURCES GAS GROUP LIMITED;                                4,767,000;                                0.20%
                                 1196;                                REALORD GROUP HOLDINGS LIMITED;                                22,912,000;                                1.99%
                                 1199;                                COSCO SHIPPING PORTS LIMITED;                                11,384,978;                                0.36%
                                 1205;                                CITIC RESOURCES HOLDINGS LIMITED;                                166,256,100;                                2.11%
                                 1208;                                MMG LIMITED;                                168,506,000;                                2.10%
                                 1211;                                BYD COMPANY LIMITED;                                18,090,569;                                1.97%
                                 1212;                                LIFESTYLE INTERNATIONAL HOLDINGS LIMITED;                                225,500;                                0.01%
                                 1230;                                YASHILI INTERNATIONAL HOLDINGS LTD;                                49,000,406;                                1.02%
                                 1234;                                CHINA LILANG LIMITED;                                27,741,000;                                2.31%
                                 1236;                                NATIONAL AGRICULTURAL HOLDINGS LIMITED;                                48,048,000;                                2.26%
                                 1238;                                POWERLONG REAL ESTATE HOLDINGS LIMITED;                                34,392,000;                                0.86%
                                 1250;                                BEIJING ENTERPRISES CLEAN ENERGY GROUP LIMITED;                                1,757,000,000;                                2.76%
                                 1253;                                CHINA GREENLAND BROAD GREENSTATE GROUP COMPANY LIMITED;                                16,216,000;                                0.48%
                                 1257;                                CHINA EVERBRIGHT GREENTECH LIMITED;                                8,627,000;                                0.41%
                                 1282;                                CHINA GOLDJOY GROUP LIMITED;                                1,829,736,000;                                8.25%
                                 1288;                                AGRICULTURAL BANK OF CHINA LIMITED;                                2,170,600,000;                                7.05%
                                 1293;                                GRAND BAOXIN AUTO GROUP LIMITED;                                165,901,894;                                5.84%
                                 1299;                                AIA GROUP LIMITED;                                25,716,940;                                0.20%
                                 1302;                                LIFETECH SCIENTIFIC CORPORATION;                                276,948,000;                                6.39%
                                 1308;                                SITC INTERNATIONAL HOLDINGS COMPANY LIMITED;                                15,487,000;                                0.57%
                                 1310;                                HKBN LTD.;                                294,500;                                0.02%
                                 1313;                                CHINA RESOURCES CEMENT HOLDINGS LIMITED;                                32,694,000;                                0.50%
                                 1315;                                VISION FAME INTERNATIONAL HOLDING LIMITED;                                696,412,000;                                11.60%
                                 1316;                                NEXTEER AUTOMOTIVE GROUP LIMITED;                                28,496,000;                                1.12%
                                 1317;                                CHINA MAPLE LEAF EDUCATIONAL SYSTEMS LIMITED;                                109,162,000;                                7.91%
                                 1333;                                CHINA ZHONGWANG HOLDINGS LIMITED;                                259,002,000;                                4.74%
                                 1336;                                NEW CHINA LIFE INSURANCE COMPANY LTD.;                                330,143,153;                                31.91%
